acmg	Gene.refGene	Gene MIM	Disease/Phentyope	Disorder MIM	Phenotype Category	Inheritance 	SF List Version	Variants to report
1	PALB2	610355	Hereditary breast cancer	114480	Cancer	AD	3.0	All P and LP
1	PCSK9	607786	Familial hypercholesterolemia	603776	Cardiovascular	AD	1.0	All P and LP
1	PKP2	602861	Arrhythmogenic right ventricular cardiomyopathy	609040	Cardiovascular	AD	1.0	All P and LP
1	PMS2	600259	Lynch syndrome	614337	Cancer	AD	1.0	All P and LP
1	PRKAG2	602743	Hypertrophic cardiomyopathy	600858	"Cardiovascular
1	Metabolic"	AD	1.0	All P and LP
1	PTEN	601728	PTEN hamartoma tumor syndrome	158350	Cancer	AD	1.0	All P and LP
1	RB1	614041	Retinoblastoma	180200	Cancer	AD	1.0	All P and LP
1	RBM20	613171	Dliated cardiomyopathy	613172	Cardiovascular	AD	3.1	All P and LP
1	RET	164761	Familial medullary thyroid cancer	155240	Cancer	AD	1.0	All P and LP
1	RET	164761	Multiple endocrine neoplasia type 2A	171400	Cancer	AD	1.0	All P and LP
1	RET	164761	Multiple endocrine neoplasia type 2B	162300	Cancer	AD	1.0	All P and LP
1	RPE65	180069	RPE65-related retinopathy	"204100,
1	613794"	Miscellaneous	AR	3.0	P and LP (2 variants)
1	RYR1	180901	Malignant hyperthermia	145600	Miscellaneous	AD	1.0	All P and LP
1	RYR2	180902	Catecholaminergic polymorphic ventricular tachycardia	604772	Cardiovascular	AD	1.0	All P and LP
1	SCN5A	600163	Long QT syndrome type 3	603830	Cardiovascular	AD	1.0	All P and LP
1	SCN5A	600163	Brugada syndrome	601144	Cardiovascular	AD	1.0	All P and LP
1	SCN5A	600163	Dilated cardiomyopathy	601154	Cardiovascular	AD	1.0	All P and LP
1	SDHAF2	613019	Hereditary paraganglioma-pheochromocytoma syndrome	601650	Cancer	AD	1.0	All P and LP
1	SDHB	185470	Hereditary paraganglioma-pheochromocytoma syndrome	"115310,
1	171300"	Cancer	AD	1.0	All P and LP
1	SDHC	602413	Hereditary paraganglioma-pheochromocytoma syndrome	605373	Cancer	AD	1.0	All P and LP
1	SDHD	602690	Hereditary paraganglioma-pheochromocytoma syndrome	"168000,
1	171300"	Cancer	AD	1.0	All P and LP
1	SMAD3	603109	Loeys-Dietz syndrome	613795	Cardiovascular	AD	1.0	All P and LP
1	SMAD4	600993	Juvenile polyposis syndrome	174900	Cancer	AD	1.0	All P and LP
1	SMAD4	600993	Hereditary hemorrhagic telangiectasia	175050	Miscellaneous	AD	1.0	All P and LP
1	STK11	602216	Peutz-Jeghers syndrome	175200	Cancer	AD	1.0	All P and LP
1	TGFBR1	190181	Loeys-Dietz syndrome	609192	Cardiovascular	AD	1.0	All P and LP
1	TGFBR2	190182	Loeys-Dietz syndrome	610168	Cardiovascular	AD	1.0	All P and LP
1	TMEM127	613403	Hereditary paraganglioma-pheochromocytoma syndrome	171300	Cancer	AD	3.0	All P and LP
1	TMEM43	612048	Arrhythmogenic right ventricular cardiomyopathy	604400	Cardiovascular	AD	1.0	All P and LP
1	TNNC1	191040	Dilated cardiomyopathy	611879	Cardiovascular	AD	3.1	All P and LP
1	TNNI3	191044	Hypertrophic cardiomyopathy	613690	Cardiovascular	AD	1.0	All P and LP
1	TNNT2	191045	Dilated cardiomyopathy	601494	Cardiovascular	AD	1.0	All P and LP
1	TNNT2	191045	Hypertrophic cardiomyopathy	115195	Cardiovascular	AD	1.0	All P and LP
1	TP53	191170	Li-Fraumeni syndrome	151623	Cancer	AD	1.0	All P and LP
1	TPM1	191010	Hypertrophic cardiomyopathy	115196	Cardiovascular	AD	1.0	All P and LP
1	TRDN	603283	Catecholaminergic polymorphic ventricular tachycardia	615441	Cardiovascular	AR	3.0	All P and LP
1	TRDN	603283	Long QT syndrome	n/a	Cardiovascular	AR	3.0	All P and LP
1	TSC1	605284	Tuberous sclerosis complex	191100	Cancer	AD	1.0	All P and LP
1	TSC2	191092	Tuberous sclerosis complex	613254	Cancer	AD	1.0	All P and LP
1	TTN	188840	Dilated cardiomyopathy (truncating variants only)	604145	Cardiovascular	AD	3.0	P and LP (truncating variants only)
1	TTR	176300	Hereditary transthyretin-related amyloidosis	105210	Miscellaneous	AD	3.1	All P and LP
1	VHL	608537	Von Hippel-Lindau syndrome	193300	Cancer	AD	1.0	All P and LP
1	WT1	607102	WT1-related Wilms tumor	194070	Cancer	AD	1.0	All P and LP1
